,Artist,Album
0,Devon Gilfillian,Truth EP
1,Masta Ace & Marco Polo,A Breukelen Story
2,Nylon Smile,Angel of Doubt
3,Maggie Rogers,Heard it in a Past Life
4,Sneaks,Highway Hypnosis
5,Sharon Van Etten,Remind Me Tomorrow
6,Mike Krol,Power Chords
7,Angelo de Augustine,Tomb
8,Olga Solar,Antilullaby
9,Pedro The Lion,Phoenix
10,Cosmico,Overthinker Know It All
11,MindMassage,Shivers
12,Roving Reporter,Joie de Vivre
13,Buke and Gase,Scholars
14,500 Miles to Memphis,Blessed be the Damned
15,Mallsex,Discreet Sevices
16,Mallsex,Discreet Services
17,Toro y Moi,Outer Peace
18,Those Damn Eyes,Too Far to Turn Back Now
19,Polarizado,It Aint Real… But Its True
20,Down Dirty Shake,Down Dirty Shake
21,Cub Sport,Cub Sport
22,Night Beats,Myth of a Man
23,Terry Ohms,Terryfirma
24,Tallies,Tallies
25,Juliana Hatfield,Weird
26,Praises ,In This Year: Ten of Swords
27,Fahrenheist,Albatross
28,Andrew Friedberg,Thank God For Rock Bottom
29,Royal Canoe,Waver
30,Self-Evident,Lost Inside the Machinery
31,Liz Brasher,Painted Image
32,Lena Elizabeth,Get It Right
33,Exdreams,Physical Contact
34,Deerhunter,Why Hasn't EverythingAlready Disappeared?
35,Steve Gunn,The Unseen In Between
36,Harriet Brown,Mall of Fortune
37,Rat Boy,Internationally Unknown
38,Tunic,Complexion
39,Knuckle Pups,San Panino
40,Guster,Look Alive
41,Punch The Sun,Magic & Mistakes
42,Sons of Raphael,A Nation of Bloodsuckers
43,Rosie Carney,Bare
44,Sam Valdez,Mirage
45,Weeknight,Dead Beat Creep
46,Emily King,Scenery
47,The Twilight  Sad,It Won/t Be Like This All The Time
48,The Twilight Sad,It Won/t Be Like This All The Time
49,Guided by Voices,Zeppelin Over China
50,The Old Firm Casuals,Holgar Danske
51,Mozes and the Firstborn,Dadcore
52,Alexander & The Nobles,The Night's Too Long
53,Lily & Madeleine,Canterbury Girls
54,Mattiel,Customer Copy EP
55,Sydney Wright,Seiche
56,You Tell Me,You Tell Me
57,French for Rabbits,The Weight of Melted Snow
58,Young the Giant,Mirror Master
59,GOOD.,This Is for You
60,dodie,Human
61,The Silver Snails,The 7 Melodies
62,A Fragile Tomorrow,Generation Loss
63,Baby Bulldog,Baby Bulldog
64,The Exbats,E is for Exbats
65,Chrome Sparks,Be On Fire
66,iLLism,iLLuminate
67,Canary,I Am Lion
68,Charlene Soraia ,Where's My Tribe
69,James Blake,Assume Form
70,It's For Us,Stay
71,LIP TALK,D  A  Y  S
72,Julia Holter,Aviary
73,Girlpool,What Chaos is Imaginary
74,Jay Cue,Don't Pick Sides
75,Malibu Ken,Malibu Ken
76,Wunderkap,Silver Linings
77,Beirut,Gallipoli
78,Prateek Kuhad,Cold / Mess
79,Abjects,Never Give Up
80,Anemone,Beat My Distance
81,Only Yours,Overrun
82,Madame Gandhi,Bad Habits
83,LIP,Glass House
84,Cherry Glazerr,Stuffed & Ready
85,Applesauce Tears,Wooly
86,Deer Tick,Mayonnaise
87,Perfect Son,Cast
88,Fish Tank,Shadows EP
89,SMUG,Gorgeous
90,Alex Lilly,2% Milk
91,Panda Bear,Buoys
92,Nikki & The Phantom Callers,"What The Daughter Does, The Mother Did"
93,Y La Bamba,Mujeres
94,Tender,Fear of Falling Asleep
95,Sticky Fingers,Yours To Keep
96,Elena Setien,Another Kind of Revolution
97,Grandchildren,Grandchildren
98,Dawn Richard (DAWN),new breed
99,Celia Palli,Technicolours
100,Dave Harrington Group,"Pure Imagination, No Country"
101,Thunderpaw,The Land of Forbidden Knowledge
102,Mariya May,Mariya May
103,Go Fever,Daydream Hawker
104,Mercury Rev,The Delta Sweete Revisited
105,Hellogoodbye,S'Only Natural
106,The Dip,The Dip Delivers
107,Ella Vos,Watch & Wait
108,Chasms,The Mirage
109,Curt Castle,If I'm Here At All
110,Holiday,Holiday
111,Entracte Twist,Entracte Twist
112,Antonioni,The Odds Were All Beating Me
113,Hajk,Drama
114,BUGS,Social Slump
115,Elder Island,The Omnitone Collection
116,Summer Rental,Studio C - Summer Rental
117,Homeshake,Helium
118,Pablo Dylan,The Finest Somersault
119,Nov3l,Novel
120,Ladytron,Ladytron
121,Polo & Pan,Caravelle
122,Leyla McCalla,The Capitalist Blues
123,Balthazar,Fever
124,Unloved,Heartbreak
125,Cyclone Static,From Scratch
126,Bedstudy,dot wave
127,Herzog,Me Vs. You
128,Tedeschi Trucks Band,Signs
129,Stuck In The Sound,Billy Believe
130,The Demos,If You Only Knew
131,Rustin Man,Drift Code
132,Piroshka,Brickbat
133,Primal Static,The Corrupting of the Revolution
134,Criminal Hygiene,Run It Again
135,Chain Wallet,No Ritual
136,Henry Jamison,Gloria Duplex
137,Emilie Kahn,Outro
138,La Houle,Premiere Vague
139,Cass Mccombs,Tip Of The Sphere
140,Harlem,Oh Boy
141,Hugh Coltman,Who's Happy?
142,Lenny Lashley's Gang of One,All Are Welcome
143,The Gillum Bros,Mooshie Music
144,HEALTH,Volume 4: Slaves of Fear
145,Leem of Earth,Chapter Two
146,The Lemonheads,Varshons 2
147,CECI,Vortex
148,White Lies,Five
149,Pamela Mendez,Time
150,The Specials,Encore
151,Sugaray Rayford,Somebody Save Me
152,Sir Babygirl,Crush On Me
153,Deep State,The Path to Fast Oblivion
154,Luther Russell,Medium Cool
155,Susto,Ever Since I Lost My Mind
156,Blumoon,Slow Burn
157,The Cuckoo Bees,Weeping Willow
158,The Wheel Workers,Post-Truth
159,Daniel Francis Doyle & The Dreams,Unrecognizable
160,Moony Matelot,Tempest
161,Frankie And The Witch Fingers,ZAM
162,Quin Galavis,Victim/Nonvictim pt.1
163,Julia Jacklin,Crushing
164,Better Oblivion Community Center,Better Oblivion Community Center
165,Methyl Ethel,Triage
166,And The Kids,When This Life Is Over
167,Baby FuzZ,Plastic Paradise
168,Jessica Pratt,Quiet Signs
169,The Desert,Winning You Back
170,Hand Habits,Placeholder
171,AKUA,Them Spirits
172,TEEN,Good Fruit
173,Primer,Novelty
174,Benny Sings,City Pop
175,Martin Frawley,Undone at 31
176,Citizen Cope,Heroin And Helicopters
177,King Ropes,Green Wolverine
178,The Deer,Studio C - The Deer
179,Nick Waterhouse,Nick Waterhouse
180,Nicola Cruz,Siku
181,Moving Panoramas,In Two
182,The Dates,Ask Again Later
183,Fever High,Avec You
184,Bad Bad Hats,Lightning Round
185,Low Life,Downer Edition
186,Aaron Taos,Birthday Boy
187,Sasami,SASAMI
188,FEELS,Post Earth
189,Liily,I Can Fool Anyone In This Town
190,The Coathangers,The Devil You Know
191,Delicate Steve,Till I Burn Up
192,Oliver West,Weather Me
193,Mike Edel,Thresholds
194,Ritual Howls,Rendered Armor
195,Stella Donnelly,Beware of the Dogs
196,The Blank Tapes,Candy
197,Dirty Fuss,American Animals
198,Manics,Binary EP
199,Louis Futon,Way Back When
200,The Oles,Rise
201,Cypress And Russle,On Dying
202,Andrew Bird,My Finest Work Yet
203,Winded City,I'm Still Here
204,RY X,Unfurl
205,Ivey,Take this To Heart
206,Future Punx,The World is a Mess
207,Alabama Deathwalk,Studio C - Alabama Deathwalk
208,SP_ACES,SP_ACES
209,Kiss the Tiger,Let Me Bleed
210,Helado Negro,This is How You Smile
211,Rocky Dawuni,Beats of Zion
212,Haulm,Posture
213,Wild Pink,5 Songs
214,Scott Gilmore,Two Roomed Motel
215,NANCY,Mysterious Visions
216,SPELLING,Mazy Fly
217,Siobhan Heard,Heart BeatsVol. 1
218,Rare Bloom,Better Days
219,Maverick Sabre,When I Wake Up
220,Apparat,LP5
221,Charlie Belle,Like I Love This
222,The Black Drumset,Charged
223,Michelle Blades,Visitor
224,Blessed,Salt
225,Weyes Blood,Titanic Rising
226,Du Blonde,Lung Bread For Daddy
227,Nilufer Yanya,Miss Universe
228,La Dispute,Panorama
229,CHAI,PUNK
230,Winter Fires,Studio C - Winter Fires
231,Angel Dust,Pretty Buff
232,The Bobbleheads,Myths And Fables
233,Durand Jones & The Indications,American Love Call
234,Living Hour,Softer Faces
235,No Win,Downey
236,Joy Guerilla,Skyline
237,Adia Victoria,Silences
238,Hollywood Horses,Funny Sexy Cool
239,Grupo Fantasma,American Music vol.VII
240,Wolf City Radio,Take the Remains
241,Wild Belle,Everybody One of a Kind
242,American Football,American Football
243,Bad Sounds,Get Better
244,Munya,Meet
245,Rose fo the West,Rose of the West
246,Native Harrow,Happier Now
247,Jonathan Personne ,Histoire Naturelle
248,American Football,American Football (LP 3)
249,Charlie Christmas,Weird Old Man
250,Cinematic Orchestra,To Believe
251,La Fille,Alright Already
252,Lake Minnetonka,Melbourneapolis
253,Garcia Peoples,Natural Facts
254,Sego,Sego Sucks
255,Sonny and The Sunsets,Hairdressers From Heaven
256,I DON’T KNOW HOW THEY FOUND ME,1981 Extended Play
257,Lauren Lakis,Sad Girl Breakfast
258,Brass Box,The Cathedral
259,Ceschi,"Sad, Fat, Luck"
260,Keith Cooper ,Rabid Underdogs
261,Sugar Snow,Woodface Reimagine
262,DoubleVee,Songs For Birds And Bats
263,Small Feet,With Psychic Powers
264,Joy Guerrilla,E.N.O
265,Tyler Ramsey,For the Morning
266,Faux Ferocious,Pretty Groovy
267,Teenage Bottlerocket,Stay Rad!
268,These New Puritans,Inside the Rose
269,SONTALK,Stay Wild
270,L'Imperatrice,Matahari
271,Chris Cohen,Chris Cohen
272,Karen O and Danger Mouse,Lux Prima
273,Lee Fields & The Expressions,It Rains Love
274,Taali,I Am Here
275,Lucy Rose,No Words Left
276,Radical Face,Therapy
277,Giuda,E.V.A
278,Ozwald,Sweet Delirium
279,Lucille Furs,Another Land
280,Cayucas,Real Life
281,Norah Jones,Begin Again
282,Ghost Feather,Like The Sea
283,Daniel Norgren,Wooh Dang
284,Imperial Highway,Imperial Highway
285,The Murlocks,Manic Candid Episode
286,Lady Lamb,Even in the Tremor
287,Starflyer 59,Young in my Head
288,Kompromat,Traum Und Existenz
289,The Drums ,Brutalism
290,Earthquake Lights,Distress Signals
291,Baby Boys,I'm Set
292,John Vanderslice,The Cedars
293,Kim Gray,Plastic Memory
294,Glen Hansard,This Wild Willing
295,Fontaines DC,Dogrel
296,Adam Ostrar,The Worried Coat
297,Broken Social Scene,Let's Try The After Vol 1&2
298,ASHRR,Oscillator
299,Restless Minds,Atlantic
300,Parekh and Singh,Science City
301,Grace Ives,2nd
302,Field Medic,Fade Into Dawn
303,Nanami Ozone,NO
304,Cartwheel,Best Days
305,Dirt Buyer,Dirt Buyer
306,FOAMMM,FOAMMM
307,Jackie Mendoza,LuvHz
308,Death and Vanilla,Are You A Dreamer?
309,Joe Con,Lightwork
310,Sky Orchid,Paradise In Limbo Pt.1
311,Karyyn,The Quanta Series
312,Peter More,Shoulder
313,Cochema,All My Relations
314,Lemaitre,Fast Lovers
315,Radiant Baby,Restless
316,Tidus,Plus Sign
317,Wallows,Nothing Happens
318,The Saint Machine,Closer
319,Weird Omen,Surrealistic Feast
320,The Tough Shits,Burning in Paradise
321,POND,Tasmania
322,Bibio,Ribbons
323,Bells Atlas,The Mystic
324,Toth,Practice Magic And Seek Professional Help when Necessary
325,Club Night,What Life
326,Pixel Grip,Heavy Handed
327,Cosmonauts,Star 69
328,Tacocat,This Mess Is A Place
329,RGD,Million Reasons
330,Pink Mexico,Dump
331,The Foreign Resort,Outnumbered
332,Siskiyou,Not Somewhere
333,L7,Scatter The Rats
334,Kevin Garrett,Hoax
335,Ronnie Rogers,Denim Jacket Weather
336,Harrison Lemke,Thy Tender Care
337,King Gizzard and the Lizard Wizard,Fishing for Fishies
338,Reptaliens,Valis
339,Mickey Darling,Mickey Darling
340,Drugdealer,Raw Honey
341,Justus Proffit,L.A.'s Got Me Down
342,Money for Rope,Picture Us
343,Bleu Nuit,Le Jardin Des Memoires
344,Jesse Mac Cormack,Now
345,Kedr Livanskiy,Your Need
346,Fanclub,All The Same
347,Jetty Bones,hyphen
348,Little Simz,GREY Area
349,Easy Life,Spaceships
350,The Resonars,No Exit
351,Phalo Pantoja and Moemaw Naedon,Hard Head Mush Brain
352,Animals for Hands,Cocoon
353,White Denim,Side Effects
354,PUP,Morbid Stuff
355,Nana Adjoa,A Tale So Familiar
356,Mikal Cronin,Seeker
357,Tawiah,Starts Again
358,Devon Gilfillian,Black Hole Rainbow
359,Beck,Hyperspace
360,The Gonks,Five Things You Didn't Know About The Gonks
361,Matt Maltese,Krystal
362,Alexandra Savior,The Archer
363,Rubaiyat,Rubaiyat
364,of Montreal,Ur Fun
365,Nolan Potter's Nightmare Band,Nightmare Forever
366,Dead Horse One,The West Is The Best
367,Fran,A Private Picture
368,Ariel View,Until My lungs Are Cleared
369,Will Samson,Paralanguage
370,Maxime,Whatever Now Is Called
371,Milky Chance,Mind The Moon
372,Fascinations Grand Chorus,Presentations of Electrical Confectionery
373,Hayley Mary,"The Piss, The Perfume"
374,Dayglow,Fuzzybrain
375,The Jay Vons,The Word
376,Hotel Life,Had a few drinks… Smoked my mind
377,Waax,Big Grief
378,Beautiful Dudes,Radio
379,Longboat,Woke Up This Morning Variations
380,Nicolas Godin,Concrete and Glass
381,Twin Peaks,Lookout Low
382,Marinara,I Feel Like Dog
383,Green Buzzard,Amidst The Clutter & Mess
384,The Weeklings,3
385,Legal Vertigo,Tragic Future Film Star
386,Mr. Elevator,"Goodbye, Blue Sky"
387,Lord Sonny The Unifier,Final Notice!
388,Slotface,Sorry For the Late Reply
389,Cub Sport,333
390,Elliot Moss,A Change in Diet
391,Lapalux,Amnioverse
392,Alice Boman,Dream On
393,Okay Kaya,Watch This Liquid Pour Itself
394,…And You Will Know Us By the Trail of Dead,X: The Godless Void and Other Stories
395,Squirrel Flower,I Was Born Swimming
396,The Innocence Mission,See You Tomorrow
397,NOV,The Stride
398,Field Music,Making A New World
399,Loudness War,Mystifier Deluxe
400,Pictish Trail,Thumb World
401,Verite,New Skin
402,Dune Rats,Hurry Up and Wait
403,Biglemoi,Permanent Vacation
404,Jean Caffeine,Love. What is it?
405,Straight to VHS,Friend Music
406,Cameron Cook,Covering Tides
407,"Soil + ""Pimp"" Sessions",Galaxy Lady
408,Lake South,South Coast
409,Cousin Tony's Brand New Firebird,Best Face to London
410,Perpetual Groove,Perpetual Groove
411,Mo Troper,Natural Beauty
412,Saint Sebastian,Melancholy Breakdown
413,Georgia Fair,The World's Awake
414,Fiona Silver,Hostage of Love
415,Khruangbin & Leon Bridges,Texas Sun
416,Fat Tony & Taydex,Wake Up
417,Son Little,aloha
418,Sy Somebody,"Life is Cruel, Let's be Friends"
419,Cheerleader,Almost Forever
420,Post Animal,Forward Motion Godyssey
421,The Applesauce Tears,Wonders
422,The No. 44,Reflexive Repeater
423,Sotomayor,Origenes
424,Death Hags,Big Grey Sun #1
425,CLIFFFS,Panic Attack
426,The Mommyheads,The Mommyheads
427,Hollow Coves,Moments
428,Martha Wash,Love & Conflict
429,Destroyer,Have We Met
430,Bambara,Stray
431,Shmu,Pure Bliss
432,Kate Davis,Trophy
433,Oliver Spalding,Novemberism
434,Georgia ,Seeking Thrills
435,Fyohna,Fyohna
436,Flyway,The Whispers and The Whines
437,Louise Burns,Portraits
438,Deserta,Black Aura My Sun
439,Loving,If I Am Only My Thoughts
440,B. Hamilton,Nothing and Nowhere
441,Gengahr,Sanctuary
442,Boniface,Boniface
443,Glass Beach,The First Glass Beach Album
444,The Ballroom Thieves,Unlovely
445,Shopping,All Or Nothing
446,Say Hi,Diamonds & Donuts
447,Policia,When We Stay Alive
448,Golf Dolls,Die Trying
449,Lucy,Radio Edit
450,Best Coast,Always Tomorrow
451,Port Juvee,Motion Control
452,Agnes Obel,Myopia
453,Square Peg Round Hole,Branches
454,Awkward i,Impossible Junction
455,SixFoxWhisky,Naughty Air
456,Frazey Ford,U KIN BE THE SUN
457,Stormzy,Heavy is the Head
458,Flyjack,Soul Catcher
459,Phantom Phunk,Day By Day / Tongue Tied
460,Hello Forever,Whatever It Is
461,Dan Deacon,Mystic Familiar
462,Caroline Rose,Superstar
463,Scrunchies,Stunner
464,Yppah,Sunset in the Deep End
465,Jeff Parker,Suite for Max Brown
466,The Controversial New 'Skinny Pill',Pencils Down!
467,BREE,New Skin
468,Puss N Boots,Sister
469,Soccer Mommy,Color Theory
470,Transviolet,Born to Rule
471,Denzel Curry x Kenny Beats,Unlocked
472,Margaux,More Brilliant is the Hand that Throws the Coin
473,Swamp Dogg,Sorry You Couldn't Make It
474,Asgeir,Bury The Moon
475,Sandra Bouza,Falling Away from me
476,Beatific,The Sunshine EP
477,Elephant Stone,Hallow
478,Real Estate,The Main Thing
479,Disq,Collector
480,Jupe Jupe,Nightfall
481,Boy Romeo,Pure Soul
482,Greg Dulli,Random Desire
483,Franc Moody,Dream In Colour
484,Caribou,Suddenly
485,Spindrift,Classic Soundtracks Vol. 3
486,Native Station,Morningstar Drive
487,Black Books,Cheer Up
488,Overcoats,The Fight
489,Nallo,Nallo
490,Kristjan Eastman,Sigurlin
491,Koko Netz,I.T.T.I.P.
492,Jane Herships,The Home Record
493,James Supercave,M.O.W.O.
494,Porridge Radio,Every Bad
495,L.A. Takedown,Our Feeling of Natural High
496,Porches,Ricky Music
497,King Krule,Man Alive!
498,Kevin Krauter,Full Hand
499,Baseball Gregg,Calenders
500,Mija,Desert Trash
501,Erin Anne,Tough Love
502,Spinning Coin,Hyacinth
503,Vunabar,Either Light
504,The Cabin Fever,Alone Together
505,Jose James,No Beginning No End 2
506,Kellen of Troy,Vanity Project
507,NNAMDI,BRAT
508,Yves Tumor,Heaven To A Tourtured Mind
509,Sorry,925
510,Purity Ring,WOMB
511,Childish Gambino,3.15.20
512,Anna Calvi,Hunted
513,Girl Skin,Shade Is On The Other Side
514,Young Man In A Hurry,Jarvis
515,Tonne,Tonne
516,Peter Bjorn + John,Endless Dream
517,Diet Cig,Do You Wonder About Me?
518,Man Man,Dream Hunting In The Valley Of The In Between
519,TOPS,I Feel Alive
520,Dead Ghosts,Automatic Changer
521,Day Wave,Crush
522,Wilma Archer,A Western Circular
523,Sophia St. Helen,None The Wiser
524,Once And Future Bands,Deleted Scenes
525,Bugs ,Self Help
526,Wares,Survival
527,Ellis,Born Again
528,Eliza And The Delusionals,A State of Living in an Objective Reality
529,My Ugly Clementine,Vitamin C
530,CMON,Confusing Mix Of Nations
531,Jaguar Jonze,Diamonds & Liquid Gold
532,Peach Pit ,You and Your Friends
533,Moaning,Uneasy Laughter
534,Moaning ,Uneasy Laughter
535,Tame Impala,The Slow Rush
536,Saint Sister,Dynamite
537,Jordana ,Classical Notions of Happiness
538,Blevins,As I'm Fading Into You
539,BONUS,IIII
540,The Exbats,"Kicks, Hits, and Fits"
541,Fanfickk,Skull Pocket
542,WHOOP-Szo,Warrior Down
543,CHAI,No More Cake
544,ARTHUR,Hair of the Dog
545,NIIKA,Close But Not Too Close
546,BOAT,Tread Lightly
547,Pure X,Pure X
548,Tkay Maidza,Shook
549,Tourist Company,St Helens
550,Dakota Theim,Somewhere Under The Sun
551,Moses Sumney,Grae
552,Jaunt,All in One
553,Lady Legs,Off Days
554,Alex Izenburg,Sister Jade
555,Lazer Background,Evergreen Legend
556,Maita,Best Wishes
557,Psychic Markers,Psychic Markers
558,Jeff Rosenstock,No Dream
559,NZCA Lines,Pure Luxury
560,Retirement Party,Runaway Dog
561,Girl Friday,Amber's Knee: A Matter of Concern
562,Sports Team ,Deep Down Happy
563,Ohmme,Fanstasize Your Ghost
564,Phoebe Bridgers,Punisher
565,Trinidad ,Sweet Spirit
566,Momma,Two of Me
567,Ex Norwegian,Hue Spotting
568,Atta Boy,Big Heart Manners
569,Tomemitsu,I'll Be Alright
570,WOODS,Strange To Explain
571,SIS,Fingerpaint
572,Extraa,Baked
573,Lily and Horn Horse,Republicans For Bernie
574,Laveda,What Happens After
575,Michelle Blades,Nombrar Las Cosas
576,GUM,Out In The World
577,Vinyl Williams,Azure
578,Yellow Days,Love is Everywhere
579,Hanni El Khatib ,FLIGHT
580,Night Glitter,Night Glitter
581,Healing Potpourri,Blanket of Calm
582,Unwed Sailor,Look Alive
583,The Unfit,The Unfit
584,Run The Jewels,RTJ4
585,Nana Grizol,South Somewhere Else
586,The Mango Furs,Inner Migrations
587,Starchild and The New Romantic,Forever
588,PINS,Hot Slick
589,Francios Club,Cobra
590,Jade Hairpins,Harmony Avenue
591,Paul Maxwell,LOVEDEMON
592,MXMTOON,dawn
593,Tenci,My Heart is an Open Field
594,Deerhoof,Future Teenage Cave Artists
595,Waldo Witt,Inner Paths
596,Melkbelly,PITH
597,Hotel Life ,Old School Stereo
598,Twin Peaks,Side A
599,Flock of Dimes,Like so much Desire
600,Galore,Galore
601,Braids,Shadow Offering
602,Jonah Yano,souvenier
603,Boyo,Where Have All My Friends Gone?
604,Phantom Planet,Devastator
605,Fantasy Non Fiction,Fantasy Non Fiction
606,The Reflectors,First Impression
607,Bad Moves,Untenable
608,The Golden Dregs,Hope Is For The Hopeless
609,Sahara,Pure Glass
