,Artist,Album
2307,Jason Anderson,"Fredericton, New Brunswick"
2308,Dead Gowns,How
2309,Lucrecia Dalt,Ay!
2310,A.O. Gerber,Meet Me At The Gloaming
2311,Drugdealer,Hiding In Plain Sight
2312,Sofie Royer,Harlequin
2313,Rubblebucket,Earth Worship
2314,Shutups,I can't eat nearly as much as I want to vomit
2315,Garrett T. Capps & NASA Country,People Are Beautiful
2316,ribbon stage,Hit With The Most
2317,Melby,Looks Like A Map
2318,Julianna Rolino,All Blue
2319,Dazy,OUTOFBODY
2320,SOBS,Air Guitar
2321,Girlpuppy,When I'm Alone
2322,Alms,Did I Ask?
2323,Batooter,OYSTER
2324,babehoven,Light Moving Time
2325,scout gillett,no roof no floor
2326,Fauness,The Golden Ass
2327,No Signal,"""Embers"""
2328,Glorybots,"""Servile"
2329,Atta Boy,Crab Park
2330,La Femme,Teatro Lucido
2331,"Drugdealer, Kate Bollinger",Hiding in Plain Sight
2332,Daisy the Great,All You Need Is Time
2333,Swim Jeans,Swim Jeans
2334,easy life,MAYBE IN ANOTHER LIFE
2335,Field Guide,Field Guide
2336,Katie Lass,Hypnopomp
2337,Talkdemonic,Various Seasides
2338,The Brazen Youth,"Eagle, Idaho"
2339,Fantasy Camp,Casual Intimacy
2340,Big Joanie,Back Home
2341,Weyes Blood,"And in the Darkness, Hearts Glow"
2342,Nick Campbell Destroys,Art
2343,Detroit Rebellion,Fake News
2344,Bedouin Soundclash,We Will Meet in a Hurricane
2345,Melby,Looks Like a Map
2346,Bon Enfant,Diorama
2347,Cumulus,Something Brigther
2348,Aoife Nessa Frances,Protector
2349,Conner Cherland,Call Waiting
2350,Rayland Baxter,If I Were a Butterfly
2351,Olivia Barton,This is a Good Sign
2352,HATAALII,Land of Poor Chance
2353,HATAALII,President's Got Me All Night Long
2354,Katy Rea,The Urge that Saves You
2355,ghost orchard,rainbow music
2356,MorMor,Semblance
2357,Parkland,Parkland
2358,Hans Pucket,No Drama
2359,Turnover,Myself in the Way
2360,Smut,How the Light Felt
2361,Tasche and the Psychedelic Roses,tasche and the psychedelic roses
2362,Molly Burch,Molly Burch Xmas Album
2363,The Selfless Lovers,When The Bar Closes
2364,Oberon Rose,"Purple, Blue, & Crimson"
2365,DARKSOFT,Beigification
2366,Bicycle Inn,"Baldr the Beautiful is Dead, is Dead"
2367,Marcus Gad,"""Long Way Home"""
2368,Tenci,"A Swollen River, A Well Overflowing"
2369,Shame,Six-Pack (radio edit)
2370,Kate Bollinger,J'aime les filles
2371,DIE SPITZ,Teeth
2372,Fixtures,Hollywood Dog
2373,9TooDeep,The Shameless Posessive
2374,Brockhampton,TM
2375,Thee Sacred Souls,Love Is The Way
2376,Rozi Plain,Prize
2377,Arlo Parks,Weightless
2378,Billy Nomates,CACTI
2379,Crooks & Nannies,No Fun
2380,Little Simz,No Thank You
2381,Toro y Moi,Mahal
2382,River Sinclaire,Driving
2383,The Darling Fire,Distortions
2384,Fran ,Leaving
2385,CVC,Get Real
2386,WILSON/Jones,Through My Eyes
2387,Los B****os,Los Chrismos
2388,Bass Drum of Death,Say I Won't
2389,Bleach Burn,Silver Linings
2390,Leland Whitty,Anyhow
2391,Seun Kuti & Black Thought,African Dreams
2392,Jazz is Dead,Jazz is Dead 015
2393,Slowe,Tru Thoughts 2022
2394,Binary Sunset,Trans-en-Provence
2395,Acre Memos,A Collection of Bird Songs
2396,Montell Fish,Her Love Still Haunts Me Like a Ghost
2397,Electric Jane,Electrric Jane
2398,Uni and the Urchins,SIMULATOR
2399,Mary Middlefield,Thank You Alexander
2400,July Talk,Remember Never Before
2401,Dana Why,Kneel
2402,Dana Buoy,"Experiments in Plant Based Music, Vol. 1"
2403,John Moods,The Great Design
2404,Paul Spring,Thunderhead
2405,The Stacks,Lay Me Down To Rest
2406,Babitha,Brighter Side of Blue
2407,Daughter,Be On Your Way
2408,Bobbie Lovesong,On The Wind
2409,King Tuff,Smalltown Stardust
2410,Half Gringa,Ancestral Home
2411,Eagle Johnson,Wild Heart
2412,Jonah Yano,portait of a dog
2413,Anna Tivel,Outsiders
2414,Mirabelle,Flickering Lights
2415,The Arcs,Electrophonic Chronic
2416,San Tropez,Maybe Tomorrow
2417,Glosser,Downer
2418,The Moss,Insomnia
2419,Balk,Bulk
2420,The Love Buzz,Here Comes The Scum
2421,Lou Tides,Infinite Loop
2422,Crosslegged,Another Blue
2423,Bumpy,Morning Sun EP
2424,Young Fathers,Heavy Heavy
2425,Geoff Bradford,The Voyage Out
2426,State's UP,State's UP
2427,boygenius,20
2428,Yves Tumor,Echolalia
2429,Unknown Mortal Orchestra,Layla
2430,Kelela,Raven
2431,Andy Shauf,Norm
2432,bdrmm,It's Just a Bit of Blood
2433,Narrow Head,Moments of Clarity
2434,Jessica Winter,Limerence
2435,babyfang,In The Face Of
2436,Applesauce Tears,Artifacts
2437,Mynolia,All Things Heavy
2438,Somebody's Child,Somebody's Child
2439,Emelia Austin,From Another Sky
2440,These People,In Place of Time
2441,White Reaper,Asking For A Ride
2442,khai dreams,Absolute Heartbreak
2443,Amtrac,Extra Time
2444,"Amtrac, Samuel T. Herring",Extra Time
2445,Wednesday,"""Chosen to Deserve"""
2446,Wesley Joseph,GLOW
2447,Robert Glasper,Black Radio III
2448,NxWorries,Where I Go (single)
2449,Pink Fuzz,Vitals
2450,Paramore,This Is Why
2451,Parannoul,After the Magic
2452,Harry Cloud,The Cyst
2453,Geese,Cowboy Nudes
2454,Will Epstein,Wendy
2455,Rikas,Goodbye Sunshine
2456,Willie Stratton ,Drugstore Dreamin'
2457,Future Crisis Klub,Future Crisis Klub
2458,Yo La Tengo,This Stupid World
2459,Pile,All Fiction
2460,@,Mind Palace Music
2461,Afternoon Bike Ride,Glossover
2462,Five State Drive TX,Electronic Waste
2463,Keep,Happy in Here
2464,Pink Sky,Total Devotion
2465,Hey Hey My My,High_Life
2466,Quasi,Breaking the Balls of History
2467,Fascinations Grand Chorus,Terror in the Night
2468,Spitting Image,Full Sun
2469,Pearla,"Oh Glistening Onion, The Nighttime Is Coming"
2470,Wax Tailor,Fishing For Accidents
2471,Lowly,Keep Up The Good Work
2472,Spiral XP,It's Been a While
2473,Anna B Savage,inFLUX
2474,Ber,Halfway
2475,Madame Gandhi,Vibrations
2476,Model/Actriz,Dogsbody
2477,Runner,"Like Dying Stars, We're Reaching Out"
2478,Hifi Sean and David McAlmont,Happy Ending
2479,Dobbeltgjenger,The Twins
2480,Skull Practitioners,Negative Stars
2481,shame,Food For Worms
2482,Kate Fagan,I Don't Wanna Be Too Cool
2483,Lucero,Should've Learned By Now
2484,Gabrielle Shonk,Across the Room
2485,Tanukichan,Gizmo
2486,Mary Anne's Polar Rig,Makes You Wonder
2487,The Waeve,The Waeve
2488,Sun Room ,Outta Their Minds
2489,Isaac Waters,Extended Play 001
2490,Miss Grit,Follow the Cyborg
2491,Dougie Poole,The Rainbow Wheel of Death
2492,Whose Rules,Halser
2493,Donny Hart ,Pink Cloud
2494,Waldo Witt,"Long Daze, Dark Nights"
2495,LANNDS,Music for the Future
2496,Spaceport,Window Seat
2497,Ivy ,Apartment Life
2498,Bridal Party,Cool Down
2499,Bully ,"""Lose You (feat. Soccer Mommy)"""
2500,Grade 2,Grade 2
2501,Death Valley Girls,Islands in the Sky
2502,M.U.T.T.,Bad to the Bone
2503,Harbour,"To Chase My Dreams, Or to Just Lie Down"
2504,Vosh,Vessel
2505,Florian's Creek,Happy Music For Depressed People
2506,Adi Oasis,Lotus Glow
2507,Weval,Remember
2508,Tagua Tagua,Tanto
2509,D. Fagan,From The Plateau
2510,87 and the Toys,The Smile Room
2511,Dick Stusso,S.P.
2512,The Minks,Creatures of Culture
2513,Yves Tumor,"Praise a Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)"
2514,Unknown Mortal Orchestra,V
2515,McKinley Dixon,Beloved! Paradise! Jazz!?
2516,Dazy,Otherbody
2517,deathcrash,Less
2518,"Black Country, New Road",Live at Bush Hall
2519,Carter Ace,The One And Lonely
2520,Bonnie Trash ,"Hail, Hale!"
2521,Cloudchord,Bloom Bap
2522,Deerhoof,Miracle-level
2523,Beatrice Melissa,Surprise
2524,Co-Ed Dorms,Enter The Dorms
2525,Yours Are the Only Ears,We Know The Sky
2526,Maraschino,Hollywood Piano
2527,Provide,For Me
2528,sam ray club,white knuckle
2529,sam ray club,chapstick
2530,sam ray club,murikami no bass
2531,De La Soul,3 Feet High and Rising
2532,Pearl & The Oysters,Read The Room
2533,Double Wish,Light Split Sparkle
2534,Monako,Scared Of The Way I Move
2535,Hello Mary,Hello Mary
2536,Waves Crashing,The Viewing
2537,Wednesday,Rat Saw God
2538,Kari Faux,Turnin' Heads
2539,B. Cool-Aid,Leather Blvd.
2540,M83,Fantasy
2541,Rahill,Fables
2542,Little Dragon,Slugs of Love
2543,Death and Vanilla,Flicker
2544,Juno Rucker,REDUX
2545,Juno Rucker,function
2546,Juno Rucker,Turkish Jade
2547,Fox Apts,Omen
2548,PACKS,Crispy Crunchy Nothing
2549,Private Function,370HSSV 0773H
2550,Softcult,See You In The Dark
2551,Louis VI,Earthling
2552,Barrie,5K
2553,Caroline Rose,The Art of Forgetting
2554,Raue,KARMA!!
2555,Brooks Nielsen,One Match Left
2556,Yaya Bey,Exodus the North Star
2557,Phoneboy,Moving Out
2558,redveil,black enuff
2559,Hayden,Are We Good
2560,Mediocre,To Know You're Screwed
2561,Shalom,Sublimination
2562,Doom Flower,Limestone Ritual
2563,Dijon,coogie
2564,Love Moor,Love
2565,Whoop,Just What?
2566,Kate Davis,Fish Bowl
2567,Fox Teeth,Through the Blue
2568,A Certain Radio,1982
2569,Scott McMicken and THE EVER-EXPANDING,Shabang
2570,Kara Jackson,Why Does The Earth Give Us People To Love?
2571,Winona Forever,Acrobat
2572,Poison Ruin,Harvest
2573,Felt Out ,Until I'm Light
2574,Billie Marten,Drop Cherries
2575,Sadie,Tides
2576,charlie,Precious Metal
2577,Glorybots,Radiation Skies
2578,Toy City,"""Do Re Mi"""
2579,The Tallest Man On Earth,Henry St.
2580,Babygirl,Be Still My Heart
2581,Roe Kapara,I Hope Hell Isn't Real
2582,El Valerie,Pan-American
2583,Life Size Models,Seasons EP
2584,Superviolet,Infinite Spring
2585,Isaiah Rashad,The Sun's Tirade
2586,Noa Deemer,The Sleepwalker
2587,Elijah Kessler,LIGHTSPEED
2588,Hippie Hourrah,Exposition individuelle
2589,"Unlearn, MP Shaw",Secret Listener
2590,Cold Expectations,Static Reactions
2591,Novelty Island,Wallsend Weekend Television
2592,Secret Machines,"The Moth, The Lizard and The Secret Machine"
2593,Blue of Colors,Long Time Coming
2594,Western Haunts,The Bottle
2595,Ins Kino,Ins Kino 2
2596,Zulu,A New Tomorrow
2597,foil,On The Wing
2598,strongboi,strongboi
2599,Robbie & Mona,Tusky
2600,Joe Powers,Power Move
2601,Meltt,Another Quiet Sunday
2602,Genevieve Artadi,Forever Forever
2603,Django Django,Off Planet Part 3
2604,Mo Lowda & the Humble,Mo Lowda & the Humble
2605,Los Bitchos,Pah!
2606,CATT,Change
2607,mehro,Dark Corners and Alchemy
2608,The New Pornographers,Continue As A Guest
2609,Royel Otis,Sofa Kings
2610,The Khost,Isolation/Death/Adventure/Love
2611,Super Plage,Magie A Minuit
2612,Cardboard People,Cardboard People
2613,Altin Gun,Ask
2614,ELOUR,Blood Running
2615,Worriers,Warm Blanket
2616,Lucy Kruger & The Lost Boys,Heaving
2617,Aurora Dee Raynes,Ribbon of Hot Plasma
2618,Eaves Wilder,Hookey
2619,Private Wives ,Bad Taste
2620,Alice Pheobe Lou,Open My Door
2621,Lovetempo ,Lovetempo
2622,Cienfue ,Seven Cities of Gold
2623,Westerman ,An Inbuilt Fault
2624,Summer Salt,Campanita
2625,Idiot Mambo,Flamingo In Limbo
2626,Vanity Mirror,PUFF
2627,Esther Rose,Safe to Run
2628,Eddie Chacon,Sundown
2629,Nick Waterhouse,The Fooler
2630,Teleman,Good Time / Hard Time
2631,Lonnie Liston Smith,Lonnie Liston Smith JID017
2632,Pearl & The Oysters,Coast 2 Coast
2633,Rodrigo y Gabriela,In Between Thoughts... A New World
2634,Indigo De Souza,All of This Will End
2635,Scowl,Psychic Dance Routine
2636,Emily King,Special Occasion
2637,Chinos,TRY ON
2638,Bestfriend,places i've left
2639,Dave Okumu & The 7 Generations,I Came From Love
2640,Fenne Lily,Big Picture
2641,Middle Part,Time Is Elastic
2642,Genevieve Stokes,Catching Rabbits
2643,Temples,Exotico
2644,Bees in a Bottle,The Sun Left And Took The Moon With It
2645,Toy City,Toy City
2646,Glorybots,Raditation Skies
2647,Geoff Westen,Random Acts of Music
2648,M.D. Pallavi & Andi Otto,Songs For Broken Ships
2649,Chenayder,Blue Oblivion
2650,Double Grave,Till the Ground
2651,DEBBY FRIDAY,GOOD LUCK
2652,Mudhoney,Plastic Eternity
2653,Frankie Cosmos,Clean Weird Prone (Inner World Peace Deluxe)
2654,La Faute ,Blue Girl Nice Day
2655,Zoe Sky Jordan ,Selfish
2656,Cloth ,Secret Measure
2657,Nick & June ,"Beach Baby, Baby "
2658,La Priest ,Fase Luna
2659,Yves Labordus ,Falling For U
2660,Alien Eyelid ,Bronze Star
2661,Sir Chloe ,I Am The Dog
2662,Girl Ray,Up
2663,Kuna Maze,Night Shift
2664,ford.,In Motion
2665,RVG,Brain Worms
2666,Bully ,Lucky For You
2667,Faye Webster,But Not Kiss
2668,Cut Worms,Ballad of the Texas King
2669,Durand Jones,Wait Til I Get Over
2670,Baby Rose,Through and Through
2671,Snoh Alegra,DO 4 LOVE (Black Coffee Remix)
2672,"quickly, quickly",Easy Listening
2673,Mystic Marley,Energy
2674,Girlhouse,the fourth EP
2675,Angel Olson,Forever Means
2676,Nabihah Iqbal,DREAMER
2677,Y La Bamba,Lucha
2678,Slowdive,kisses
2679,Hannah Jadagu,Aperture
2680,Benny Sings,Young Hearts
2681,SBTRKT,THE RAT ROAD
2682,Surprise Chef,Friendship EP
2683,Philippe B,Nouvelle administration
2684,Linus,You've Already Won
2685,Dan San,Grand Salon
2686,Nuclear Tourism,Nuclear Tourism
2687,Mckinley Dixon,Beloved! Paradise! Jazz!?
2688,Helen Kelter Skelter,Chroma Crawl
2689,Purr,Who Is Afraid of Blue?
2690,The Aquadolls,Charmed
2691,"Louise Post, Veruca Salt",Sleepwalker
2692,CHAMPS,Ride The Morning Glass
2693,FEA,Take Cover
2694,Neggy Gemmy,CBD Reiki Moonbeam
2695,Panchiko,Failed at Math(s)
2696,Becca Mancari,Over and Over
2697,Patio,En Plein Air
2698,Annie Taylor,Inner Smile
2699,FRANKIIE,Between Dreams
2700,Braxton Cook,Who Are You When No One is Watching?
2701,Rory McBride,Sonic Lullaby
2702,Half Moon Run,Salt
2703,Dreamer Isioma,Princess Forever
2704,gal pal,This And Other Gestures
2705,Generationals,Heatherhead
2706,Vulture Feather,Liminal Fields
2707,Miranda & The Beat,Miranda & The Beat
2708,"Nur-D, Robin Gilligan",CRUSH
2709,Begonia,Powder Blue
2710,Softee,Natural
2711,79.5,79.5
2712,Demob Happy,Divine Machines
2713,Milky Chance,Living In A Haze
2714,Rahill,Flowers At Your Feet
2715,Beach Fossils,Bunny
2716,Iguana Death Cult,Echo Palace
2717,Lande Hekt,Pottery Class
2718,Sirens of Lesbos,Run Run Run
2719,Immy Owusu,The World Is Here For You
2720,The Last Dinner Party,Nothing Matters
2721,Baxter Dury,I Thought I Was Better Than You
2722,The Brook & The Bluff,Long Limbs
2723,Innerlove.,Roscoe
2724,Babe Rainbow,Fresh As A Head Of Lettuce
2725,Angelo de Augustine,Toil and Trouble
2726,Pardoner,Peace Loving People
2727,Jacuzzi Boys,Glue EP
2728,binki,Antennae
2729,Suzie True,Sentimental Scum
2730,Velvet Vision,Together
2731,Pony Girl,Laff It Off
2732,Erik Garcia ,Interstellar Ascension
2733,Dom La Nena ,Leon
2734,Austin Brookner ,Ghost Tongue
2735,Arythmers,Thinking Of Her
2736,"Ben Harper, Jack Johnson",Wide Open Light
2737,Mouraine ,In Search of Gold
2738,Secret Night Gang,Don't Know What Tomorrow Brings
2739,Django Django,Off Planet
2740,Dream Wife,Social Lubrication
2741,King Krule,Space Heavy
2742,Dominic FIke,Sunburn
2743,Dominic Fike,Sunburn
2744,May Rio,French Bath
2745,feeble little horse,Girl with Fish
2746,Sweeping Promises,Good Living Is Coming For You
2747,12 RODS,If We Stayed Alive
2748,U.S. Highball,"No Thievery, Just Cool"
2749,Chitra,In My Opinion
2750,Teen Idle,Birthday Cake
2751,Haley Blais,Baby Teeth
2752,Meernaa,As Many Birds Flying
2753,GROUPLOVE,I Want It All Right Now
2754,The Japanese House,In The End It Always Does
2755,tofusmell,Humor
2756,Lija Fonner,Small Talk
2757,The Jins,It's A Life
2758,Do Nothing,Snake Sideways
2759,The Maggie Pills,Hope Is A Risk
2760,Lil Uzi Vert,Pink Tape
2761,Miya Folick ,ROACH
2762,Lumari ,En Phases
2763,Beck & Phoenix,Odyssey
2764,The Rupert Selection ,Taking Turns
2765,Joanna Sternberg ,I've Got Me
2766,Home Is Where ,The Whaler
2767,Jack River ,Endless Summer
2768,Memory Of Jane ,In The Double
2769,The Midnight Callers ,Rattled Humming Heart
2770,Kibi James,fuerza
2771,THALA,In Theory Depression
2772,Arts Fishing Club,Rothko Sky
2773,Goshi,Cho Fast
2774,TEKE::TEKE,Hagata
2775,Ekiti Sound,Drum Money
2776,King Isis,Scales
2777,Chester Watson,fish don't climb trees
2778,Dan Horne,Count the Clouds
2779,Nate Brazier,Episode
2780,FIEH,Supergud
2781,My Name Is Ian,Underachiever of The Year
2782,The Blaze,Jungle
2783,Orions Belte,Lucid Dreaming
2784,"Quantic, Andreya Triana ",Run
2785,Grrrl Gang ,Rude Awakening
2786,MUNYA ,Hello Hi
2787,Georgia Gets By ,Easier to Run
2788,Daisy The Great ,Looking U Up
2789,A Beacon School ,Potion
2790,LP,One Like You
2791,Lewis OfMan,Highway
2792,Asher White,New Excellent Woman
2793,Pride Month Barbie,Withheld
2794,Mainland Break,One Way Ticket to Midnight
2795,Lifeguard,Crowd Can Talk
2796,NOBRO,LALA
2797,Sam Burton,Dear Departed
2798,Jamila Woods,Tiny Garden
2799,Maple Glider,Dinah
2800,Lead Pony,Vultures
2801,Militarie Gun,Life Under The Gun
2802,The Sextones,Beck & Call
2803,Snooper,Super Snooper
2804,Elephant Path,Expectations
2805,Night Beats,Rajan
2806,Protomartyr,Formal Growth in The Desert
2807,Anna St. Louis,In The Air
2808,Being Dead,When Horses Would Run
2809,Temple of Angels,Endless Pursuit
2810,Far Caspian,The Last Remaining Light
2811,Fit of Body,Far From The Rhythm
2812,Scrunchie,Scrunched
2813,Pickle Darling,Laundromat
2814,Zack Bia,Learn to Fly
2815,Voice of Baceprot,Retas
2816,Benet,"""Insensitive"""
2817,Arlo Parks,My Soft Machine
2818,MELONYX,Soul Glow
2819,Jalen Ngonda,Come Around and Love Me
2820,Elmiene,Mad at Fire
2821,Yeek,ETA2
2822,Velvet Vaughan,Magic Baby
2823,Alice Phoebe Lou,Shelter
2824,Pachyman,Trago Coqueto
2825,Cornelius ,Dream in Dream
2826,Amaara ,Child of Venus
2827,Karma Glider ,Future Fiction
2828,Linda From Work ,The Night Is Short
2829,Plum Vision ,Roll The Dice
2830,Ladytron ,Destroy Everything You Touch
2831,Katy J Pearson ,Willow's Song
2832,Crystal Fighters ,Manifest
2833,Cindy Wilson,Wait
2834,George Clanton,Ooh Rap I Ya
2835,Strange Ranger,Pure Music
2836,Allegra Krieger,I Keep My Feet On The Fragile Plane
2837,Charm School,Finite Jest
2838,Church Party,Cut The Colours
2839,New Math,Die Trying & Other Hot Sounds (1979-1983)
2840,Cyclone Static,Cave Pop
2841,Wallice,Mr Big Shot
2842,Poppy,Knockoff
2843,SIPHO.,SOBER
2844,Sea Lemon,Vaporized
2845,Mutual Benefit,Little Ways
2846,The Budos Band,Frontier's Edge
2847,Frankie and the Witch Fingers,Futurephobic
2848,Soft Science,Sadness
2849,Francis of Delirium,Real Love
2850,Wye Oak,Every Day Like The Last
2851,John Carroll Kirby,Blowout
2852,Black Milk,Everything Good?
2853,Be Your Own Pet,Big Trouble
2854,beabadoobee,the way things go
2855,The Vaughns,Turn Around
2856,Local Natives,Time Will Wait For No One
2857,Vanishing Twin,Afternoon X
2858,DAIISTAR,Tracemaker
2859,Mother Tongues ,Love In a Vicious Way
2860,KRAAK & SMAAK AND TURBOTITO,My All
2861,Jayda G,Guy
2862,Never Knows Best ,I Guess
2863,Declan Mckenna ,Sympathy
2864,We Is Shore Dedicated ,Missing Marks Amazing Dans
2865,Wallice ,Mr Big Shot
2866,Izo Fitzroy ,Body Of MIne
2867,Butcher Brown,This Side of Sunshine
2868,Christine and The Queens,"Paranoia, Angels, True Love"
2869,Captain Planet,Sounds Like Home
2870,Grian Chatten,Chaos For The Fly
2871,Meghan Dowlen,Wild Abandon
2872,Pearl Earl,It's Dread
2873,shy kids,house cats
2874,Guided By Voices,Welshpool Frillies
2875,Silver Hour,"""Desert Doomer"""
2876,The Drain Outs,"""Sometimes Fun"""
2877,Pynch ,Howling At A Concrete Moon
2878,Metric ,Just The Once
2879,Wren Hinds ,Dont Die In The Bundu
2880,Rose Of The West ,Come and Find Me
2881,La Fonda ,We Are Infinite
2882,Cigarettes For Breakfast ,Join The Circus